No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
18,Solomon Hill,PF,6-6,226,March 18 1991,us,7,Arizona
3,Kevin Huerter,SG,6-7,190,August 27 1998,us,2,Maryland
11,Trae Young,PG,6-1,180,September 19 1998,us,2,Oklahoma
20,John Collins,PF,6-9,235,September 23 1997,us,3,Wake Forest
15,Clint Capela,C,6-10,240,May 18 1994,ch,6,
8,Danilo Gallinari,PF,6-10,233,August 8 1988,it,11,
17,Onyeka Okongwu,C,6-8,235,December 11 2000,us,R,USC
19,Tony Snell,SG,6-6,213,November 10 1991,us,7,New Mexico
0,Brandon Goodwin,PG,6-0,180,October 2 1995,us,2,Central Florida Florida Gulf Coast
13,Bogdan Bogdanović,SG,6-6,220,August 18 1992,rs,3,
1,Nathan Knight  (TW),PF,6-10,253,September 20 1997,us,R,William & Mary
4,Skylar Mays  (TW),SG,6-4,205,September 5 1997,us,R,LSU
24,Bruno Fernando,C,6-9,240,August 15 1998,ao,1,Maryland
22,Cam Reddish,SF,6-8,218,September 1 1999,us,1,Duke
6,Lou Williams,PG,6-1,175,October 27 1986,us,15,
12,De'Andre Hunter,SF,6-8,225,December 2 1997,us,1,Virginia
32,Kris Dunn,PG,6-3,205,March 18 1994,us,4,Providence
