No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Jaylen Brown,SG,6-6,223,October 24 1996,us,4,California
99,Tacko Fall  (TW),C,7-5,311,December 10 1995,sn,1,Central Florida
20,Jabari Parker,PF,6-8,245,March 15 1995,us,6,Duke
0,Jayson Tatum,SF,6-8,210,March 3 1998,us,3,Duke
37,Semi Ojeleye,PF,6-6,240,December 5 1994,us,3,Duke SMU
45,Romeo Langford,SG,6-4,216,October 25 1999,us,1,Indiana
51,Tremont Waters  (TW),PG,5-10,175,January 10 1998,us,1,LSU
36,Marcus Smart,PG,6-3,220,March 6 1994,us,6,Oklahoma State
11,Payton Pritchard,SG,6-1,195,January 28 1998,us,R,Oregon
4,Carsen Edwards,SG,5-11,200,March 12 1998,us,1,Purdue
12,Grant Williams,PF,6-6,236,November 30 1998,us,1,Tennessee
13,Tristan Thompson,PF,6-9,254,March 13 1991,ca,9,Texas
44,Robert Williams,C,6-8,237,October 17 1997,us,2,Texas A&M
8,Kemba Walker,PG,6-0,184,May 8 1990,us,9,UConn
40,Luke Kornet,C,7-2,250,July 15 1995,us,3,Vanderbilt
26,Aaron Nesmith,SF,6-5,215,October 16 1999,us,R,Vanderbilt
94,Evan Fournier,SG,6-7,205,October 29 1992,fr,8,
