No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Joe Harris,SF,6-6,220,September 6 1991,us,6,Virginia
8,Jeff Green,C,6-8,235,August 28 1986,us,12,Georgetown
1,Bruce Brown,PG,6-4,202,August 15 1996,us,2,Miami (FL)
13 20,Landry Shamet,SG,6-4,190,March 13 1997,us,2,Wichita State
9,Timothé Luwawu-Cabarrot,SF,6-7,220,May 9 1995,fr,4,
6,DeAndre Jordan,C,6-11,265,July 21 1988,us,12,Texas A&M
11,Kyrie Irving,PG,6-2,195,March 23 1992,au,9,Duke
10,Tyler Johnson,SG,6-3,186,May 7 1992,us,6,Fresno State
13,James Harden,PG,6-5,220,August 26 1989,us,11,Arizona State
7,Kevin Durant,PF,6-10,240,September 29 1988,us,12,Texas
33,Nicolas Claxton,C,6-11,215,April 17 1999,us,1,Georgia
2,Blake Griffin,PF,6-10,250,March 16 1989,us,10,Oklahoma
0 14,Reggie Perry  (TW),PF,6-8,250,March 21 2000,us,R,Mississippi State
4,Chris Chiozza  (TW),PG,5-11,175,November 21 1995,us,2,Florida
24,Alize Johnson,PF,6-7,212,April 22 1996,us,2,Missouri State
55,Mike James,PG,6-1,189,August 18 1990,us,1,Lamar
26,Spencer Dinwiddie,SG,6-5,215,April 6 1993,us,6,Colorado
