No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Terry Rozier,SG,6-1,190,March 17 1994,us,5,Louisville
0,Miles Bridges,PF,6-6,225,March 21 1998,us,2,Michigan State
8,Bismack Biyombo,C,6-8,255,August 28 1992,cd,9,
25,P.J. Washington,PF,6-7,230,August 23 1998,us,1,Kentucky
4,Devonte' Graham,PG,6-1,195,February 22 1995,us,2,Kansas
10,Caleb Martin,SF,6-5,205,September 28 1995,us,1,NC State Nevada
11,Cody Martin,SF,6-5,205,September 28 1995,us,1,NC State Nevada
2,LaMelo Ball,PG,6-6,180,August 22 2001,us,R,
40,Cody Zeller,C,6-11,240,October 5 1992,us,7,Indiana
6,Jalen McDaniels,SF,6-9,205,January 31 1998,us,1,San Diego State
20,Gordon Hayward,SF,6-7,225,March 23 1990,us,10,Butler
1,Malik Monk,SG,6-3,200,February 4 1998,us,3,Kentucky
9,Brad Wanamaker,PG,6-3,210,July 25 1989,us,2,Pitt
22,Vernon Carey Jr.,C,6-9,270,February 25 2001,us,R,Duke
14,Nick Richards,PF,7-0,245,November 29 1997,jm,R,Kentucky
7,Grant Riller  (TW),PG,6-2,190,February 8 1997,us,R,College of Charleston
30,Nate Darling  (TW),SG,6-6,200,August 30 1998,ca,R,UAB University of Delaware
