No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
35,Isaac Okoro,SG,6-5,225,January 26 2001,us,R,Auburn
32,Dean Wade,PF,6-9,228,November 20 1996,us,1,Kansas State
2,Collin Sexton,SG,6-1,190,January 4 1999,us,2,Alabama
16,Cedi Osman,SF,6-7,230,April 8 1995,mk,3,
10,Darius Garland,PG,6-1,192,January 26 2000,us,1,Vanderbilt
31,Jarrett Allen,C,6-11,243,April 21 1998,us,3,Texas
21,Damyean Dotson,SG,6-5,210,May 6 1994,us,3,Oregon Houston
8,Lamar Stevens  (TW),PF,6-6,230,July 9 1997,us,R,Penn State
22,Larry Nance Jr.,PF,6-7,245,January 1 1993,us,5,Wyoming
9,Dylan Windler,SF,6-6,196,September 22 1996,us,R,Belmont
12,Taurean Prince,PF,6-7,218,March 22 1994,us,4,Baylor
33,Brodric Thomas  (TW),SG,6-5,185,January 28 1997,us,R,Truman State University
0,Kevin Love,PF,6-8,251,September 7 1988,us,12,UCLA
55,Isaiah Hartenstein,C,7-0,250,May 5 1998,us,2,
18,Matthew Dellavedova,PG,6-3,200,September 8 1990,au,7,Saint Mary's
3,Jeremiah Martin  (TW),PG,6-3,185,June 19 1996,us,1,Memphis
