No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,Tim Hardaway Jr.,SG,6-5,205,March 16 1992,us,7,Michigan
13,Jalen Brunson,PG,6-1,190,August 31 1996,us,2,Villanova
77,Luka Dončić,PG,6-7,230,February 28 1999,si,2,
3,Trey Burke,PG,6-0,185,November 12 1992,us,7,Michigan
10,Dorian Finney-Smith,PF,6-7,220,May 4 1993,us,4,Florida
0,Josh Richardson,SG,6-5,200,September 15 1993,us,5,Tennessee
7,Dwight Powell,C,6-10,240,July 20 1991,ca,6,Stanford
33,Willie Cauley-Stein,C,7-0,240,August 18 1993,us,5,Kentucky
42,Maxi Kleber,PF,6-10,240,January 29 1992,de,3,
6,Kristaps Porziņģis,C,7-3,240,August 2 1995,lv,4,
8,Josh Green,SG,6-5,200,November 16 2000,au,R,Arizona
51,Boban Marjanović,C,7-4,290,August 15 1988,rs,5,
44,Nicolò Melli,PF,6-9,236,January 26 1991,it,1,
14,Nate Hinton  (TW),SG,6-5,210,June 8 1999,us,R,Houston
2,Tyler Bey  (TW),SF,6-7,215,February 10 1998,us,R,Colorado
17,J.J. Redick,SG,6-3,200,June 24 1984,us,14,Duke
1,Tyrell Terry,PG,6-2,160,September 28 2000,us,R,Stanford
