No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,JaMychal Green,PF,6-8,227,June 21 1990,us,6,Alabama
50,Aaron Gordon,PF,6-8,235,September 16 1995,us,6,Arizona
22,Zeke Nnaji,PF,6-9,240,January 9 2001,us,R,Arizona
25,Austin Rivers,SG,6-4,200,August 1 1992,us,8,Duke
11,Monte Morris,PG,6-2,183,June 27 1995,us,3,Iowa State
27,Jamal Murray,PG,6-3,215,February 23 1997,ca,4,Kentucky
4,Paul Millsap,PF,6-7,257,February 10 1985,us,14,Louisiana Tech
00,Markus Howard  (TW),SG,5-10,175,March 3 1999,us,R,Marquette
5,Will Barton,SF,6-6,181,January 6 1991,us,8,Memphis
1,Michael Porter Jr.,SF,6-10,218,June 29 1998,us,1,Missouri
34,JaVale McGee,C,7-0,270,January 19 1988,us,12,Nevada
10,Bol Bol,PF,7-2,220,November 16 1999,sd,1,Oregon
35,PJ Dozier,SG,6-6,205,October 25 1996,us,3,South Carolina
3,Shaquille Harrison  (TW),SG,6-7,190,October 6 1993,us,3,Tulsa
31,Vlatko Čančar,PF,6-8,236,April 10 1997,si,1,
7,Facundo Campazzo,PG,5-10,195,March 23 1991,ar,R,
15,Nikola Jokić,C,6-11,284,February 19 1995,rs,5,
