No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
41,Saddiq Bey,SF,6-7,215,April 9 1999,us,R,Villanova
28,Isaiah Stewart,C,6-8,250,May 22 2001,us,R,Washington
20,Josh Jackson,SG,6-8,207,February 10 1997,us,3,Kansas
24,Mason Plumlee,C,6-11,254,March 5 1990,us,7,Duke
45,Sekou Doumbouya,PF,6-8,230,December 23 2000,gn,1,
9,Jerami Grant,SF,6-8,210,March 12 1994,us,6,Syracuse
38,Saben Lee  (TW),PG,6-2,183,June 23 1999,us,R,Vanderbilt
8,Wayne Ellington,SG,6-4,207,November 29 1987,us,11,UNC
5,Frank Jackson  (TW),PG,6-3,205,May 4 1998,us,2,Duke
13,Jahlil Okafor,C,6-10,270,December 15 1995,us,5,Duke
7,Killian Hayes,PG,6-5,195,July 27 2001,us,R,
6,Hamidou Diallo,SF,6-5,202,July 31 1998,us,2,Kentucky
0,Dennis Smith Jr.,PG,6-2,205,November 25 1997,us,3,NC State
91,Deividas Sirvydis,SG,6-8,190,June 10 2000,lt,R,
18,Cory Joseph,PG,6-3,200,August 20 1991,ca,9,Texas
17,Rodney McGruder,SG,6-4,205,July 29 1991,us,4,Kansas State
