No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
22,Andrew Wiggins,PF,6-7,197,February 23 1995,ca,6,Kansas
26,Kent Bazemore,SF,6-4,195,July 1 1989,us,8,Old Dominion
30,Stephen Curry,PG,6-3,185,March 14 1988,us,11,Davidson
23,Draymond Green,PF,6-6,230,March 4 1990,us,8,Michigan State
5,Kevon Looney,C,6-9,222,February 6 1996,us,5,UCLA
15,Mychal Mulder,PG,6-3,184,June 12 1994,ca,1,Vincennes Kentucky
1,Damion Lee,SG,6-5,210,October 21 1992,us,3,Drexel Louisville
12,Kelly Oubre Jr.,SF,6-7,203,December 9 1995,us,5,Kansas
95,Juan Toscano-Anderson,SG,6-6,209,April 10 1993,us,1,Marquette
3,Jordan Poole,SG,6-4,194,June 19 1999,us,1,Michigan
7,Eric Paschall,PF,6-6,255,November 4 1996,us,1,Fordham Villanova
33,James Wiseman,C,7-0,240,March 31 2001,us,R,Memphis
2,Nico Mannion  (TW),PG,6-2,190,March 14 2001,it,R,Arizona
6,Alen Smailagić,PF,6-10,215,August 18 2000,rs,1,
0,Gary Payton II,PG,6-3,190,December 1 1992,us,4,Oregon State
20,Jordan Bell  (TW),C,6-8,216,January 7 1995,us,3,Oregon
11,Klay Thompson,SG,6-6,215,February 8 1990,us,8,Washington State
