No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Jae'Sean Tate,SF,6-4,230,October 28 1995,us,R,Ohio State
0,Sterling Brown,SG,6-5,219,February 10 1995,us,3,SMU
6,Kenyon Martin Jr.,SF,6-6,215,January 6 2001,us,R,
35,Christian Wood,C,6-10,214,September 27 1995,us,4,UNLV
1,John Wall,PG,6-3,210,September 6 1990,us,9,Kentucky
4,Danuel House,SF,6-6,220,June 7 1993,us,4,Texas A&M
2,David Nwaba,SF,6-5,219,January 14 1993,us,4,Cal Poly
41,Kelly Olynyk,PF,6-11,240,April 19 1991,ca,7,Gonzaga
10,Eric Gordon,SG,6-3,215,December 25 1988,us,12,Indiana
3,Kevin Porter Jr.,SG,6-4,203,May 4 2000,us,1,USC
33,Anthony Lamb  (TW),SF,6-6,227,January 20 1998,us,R,University of Vermont
00,D.J. Wilson,PF,6-10,231,February 19 1996,us,3,Michigan
7,Armoni Brooks  (TW),SG,6-3,195,June 5 1998,us,R,Houston
14,D.J. Augustin,PG,5-11,183,November 10 1987,us,12,Texas
9,Avery Bradley,SG,6-3,180,November 26 1990,us,10,Texas
20,Khyri Thomas,SG,6-3,210,May 8 1996,us,2,Creighton
,Dante Exum,G,6-5,214,July 13 1995,au,5,
