No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Justin Holiday,SG,6-6,180,April 5 1989,us,7,Washington
9,T.J. McConnell,PG,6-1,190,March 25 1992,us,5,Duquesne Arizona
20,Doug McDermott,PF,6-7,225,January 3 1992,us,6,Creighton
3,Aaron Holiday,PG,6-0,185,September 30 1996,us,2,UCLA
11,Domantas Sabonis,PF,6-11,240,May 3 1996,us,4,Gonzaga
7,Malcolm Brogdon,PG,6-5,229,December 11 1992,us,4,Virginia
5,Edmond Sumner,SG,6-4,196,December 31 1995,us,3,Xavier
33,Myles Turner,C,6-11,250,March 24 1996,us,5,Texas
88,Goga Bitadze,C,6-11,250,July 20 1999,ge,1,
26,Jeremy Lamb,SG,6-5,180,May 30 1992,us,8,UConn
22,Caris LeVert,SG,6-6,205,August 25 1994,us,4,Michigan
21,Kelan Martin,SF,6-5,230,August 3 1995,us,1,Butler
14,JaKarr Sampson,PF,6-7,214,March 20 1993,us,5,St. John's
2,Cassius Stanley  (TW),SG,6-5,190,August 18 1999,us,R,Duke
12,Oshae Brissett,SF,6-7,210,June 20 1998,ca,1,Syracuse
37,Amida Brimah  (TW),C,6-10,230,February 11 1994,gh,R,UConn
1,T.J. Warren,SF,6-8,220,September 5 1993,us,6,NC State
