No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,RJ Barrett,SG,6-6,214,June 14 2000,ca,1,Duke
30,Julius Randle,PF,6-8,250,November 29 1994,us,6,Kentucky
25,Reggie Bullock,SF,6-6,205,March 16 1991,us,7,UNC
5,Immanuel Quickley,PG,6-3,190,June 17 1999,us,R,Kentucky
3,Nerlens Noel,C,6-11,220,April 10 1994,us,6,Kentucky
6,Elfrid Payton,PG,6-3,195,February 22 1994,us,6,Louisiana
1,Obi Toppin,PF,6-9,220,March 4 1998,us,R,Dayton
18,Alec Burks,SG,6-6,214,July 20 1991,us,9,Colorado
67,Taj Gibson,PF,6-9,232,June 24 1985,us,11,USC
20,Kevin Knox,SF,6-7,215,August 11 1999,us,2,Kentucky
4,Derrick Rose,PG,6-2,200,October 4 1988,us,11,Memphis
11,Frank Ntilikina,PG,6-4,200,July 28 1998,be,3,
23,Mitchell Robinson,C,7-0,240,April 1 1998,us,2,Western Kentucky
21,Theo Pinson  (TW),SG,6-5,212,November 5 1995,us,2,UNC
14,Norvel Pelle,C,6-10,231,February 3 1993,ag,1,
,Luca Vildoza,G,6-3,190,August 11 1995,ar,R,
