No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
40,Ivica Zubac,C,7-0,240,March 18 1997,ba,4,
1,Reggie Jackson,SG,6-2,208,April 16 1990,it,9,Boston College
33,Nicolas Batum,SF,6-8,230,December 14 1988,fr,12,
14,Terance Mann,SG,6-5,215,October 18 1996,us,1,Florida State
5,Luke Kennard,SG,6-5,206,June 24 1996,us,3,Duke
8,Marcus Morris,PF,6-8,218,September 2 1989,us,9,Kansas
13,Paul George,SF,6-8,220,May 2 1990,us,10,Fresno State
2,Kawhi Leonard,SF,6-7,225,June 29 1991,us,9,San Diego State
7,Amir Coffey  (TW),SG,6-7,210,June 17 1997,us,1,Minnesota
9,Serge Ibaka,C,6-10,235,September 18 1989,cg,11,
54,Patrick Patterson,PF,6-8,235,March 14 1989,us,10,Kentucky
21,Patrick Beverley,PG,6-1,180,July 12 1988,us,8,Arkansas
10,Daniel Oturu,C,6-8,240,September 20 1999,us,R,Minnesota
4,Rajon Rondo,PG,6-1,180,February 22 1986,us,14,Kentucky
15,DeMarcus Cousins,C,6-10,270,August 13 1990,us,9,Kentucky
11,Yogi Ferrell,PG,6-0,178,May 9 1993,us,4,Indiana
0,Jay Scrubb  (TW),SG,6-5,220,September 1 2000,us,R,John A. Logan College
