No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Montrezl Harrell,C,6-7,240,January 26 1994,us,5,Louisville
0,Kyle Kuzma,SF,6-10,221,July 24 1995,us,3,Utah
1,Kentavious Caldwell-Pope,SG,6-5,204,February 18 1993,us,7,Georgia
5,Talen Horton-Tucker,SG,6-4,234,November 25 2000,us,1,Iowa State
17,Dennis Schröder,SG,6-3,172,September 15 1993,de,7,
88,Markieff Morris,PF,6-9,245,September 2 1989,us,9,Kansas
4,Alex Caruso,PG,6-4,186,February 28 1994,us,3,Texas A&M
9,Wesley Matthews,SG,6-4,220,October 14 1986,us,11,Marquette
14,Marc Gasol,C,6-11,255,January 29 1985,es,12,
23,LeBron James,PG,6-9,250,December 30 1984,us,17,
28,Alfonzo McKinnie,SF,6-7,215,September 17 1992,us,3,Green Bay
3,Anthony Davis,PF,6-10,253,March 11 1993,us,8,Kentucky
2,Andre Drummond,C,6-10,279,August 10 1993,us,8,UConn
7,Ben McLemore,SG,6-3,195,February 11 1993,us,7,Kansas
12,Devontae Cacok  (TW),PF,6-7,240,October 8 1996,us,1,UNC Wilmington
37,Kostas Antetokounmpo  (TW),PF,6-10,200,November 20 1997,gr,2,Dayton
10,Jared Dudley,PF,6-6,237,July 10 1985,us,13,Boston College
