No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
21,Tyus Jones,PG,6-0,196,May 10 1996,us,5,Duke
1,Kyle Anderson,PF,6-9,230,September 20 1993,us,6,UCLA
22,Desmond Bane,SG,6-5,215,June 25 1998,us,R,TCU
24,Dillon Brooks,SF,6-7,225,January 22 1996,ca,3,Oregon
12,Ja Morant,PG,6-3,174,August 10 1999,us,1,Murray State
17,Jonas Valančiūnas,C,6-11,265,May 6 1992,lt,8,
15,Brandon Clarke,PF,6-8,215,September 19 1996,ca,1,San Jose State Gonzaga
2,Xavier Tillman Sr.,PF,6-8,245,January 12 1999,us,R,Michigan State
0,De'Anthony Melton,PG,6-2,200,May 28 1998,us,2,USC
3,Grayson Allen,SG,6-4,198,October 8 1995,us,2,Duke
46,John Konchar,SG,6-5,210,March 22 1996,us,1,Purdue-Fort Wayne
7,Justise Winslow,SF,6-6,222,March 26 1996,us,5,Duke
35,Killian Tillie  (TW),C,6-9,220,March 5 1998,fr,R,Gonzaga
30,Sean McDermott  (TW),SF,6-6,195,November 3 1996,us,R,Butler
13,Jaren Jackson Jr.,C,6-11,242,September 15 1999,us,2,Michigan State
4,Jontay Porter,PF,6-11,240,November 15 1999,us,R,Missouri
