No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
55,Duncan Robinson,SF,6-7,215,April 22 1994,us,2,Williams Michigan
13,Bam Adebayo,C,6-9,255,July 18 1997,us,3,Kentucky
28,Andre Iguodala,SF,6-6,215,January 28 1984,us,16,Arizona
5,Precious Achiuwa,PF,6-8,225,September 19 1999,ng,R,Memphis
25,Kendrick Nunn,PG,6-2,190,August 3 1995,us,1,Illinois Oakland
14,Tyler Herro,SG,6-5,195,January 20 2000,us,1,Kentucky
22,Jimmy Butler,SF,6-7,230,September 14 1989,us,9,Marquette
7,Goran Dragić,PG,6-3,190,May 6 1986,si,12,
2,Gabe Vincent  (TW),PG,6-3,200,June 14 1996,us,1,UC Santa Barbara
31,Max Strus  (TW),SF,6-5,215,March 28 1996,us,1,Lewis (IL) DePaul
4 11,KZ Okpala,PF,6-8,215,April 28 1999,us,1,Stanford
0 8,Trevor Ariza,SF,6-8,215,June 30 1985,us,16,UCLA
21,Dewayne Dedmon,C,7-0,245,August 12 1989,us,7,USC
70,Nemanja Bjelica,PF,6-10,234,May 9 1988,rs,5,
4,Victor Oladipo,SG,6-4,213,May 4 1992,us,7,Indiana
40,Udonis Haslem,C,6-8,235,June 9 1980,us,17,Florida
,Omer Yurtseven,C,7-0,264,June 19 1998,tr,R,NC State Georgetown
