No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,Brook Lopez,C,7-0,282,April 1 1988,us,12,Stanford
7,Bryn Forbes,SG,6-2,205,July 23 1993,us,4,Michigan State
24,Pat Connaughton,SG,6-5,209,January 6 1993,us,5,Notre Dame
22,Khris Middleton,SF,6-7,222,August 12 1991,us,8,Texas A&M
9,Bobby Portis,C,6-10,250,February 10 1995,us,5,Arkansas
0,Donte DiVincenzo,SG,6-4,203,January 31 1997,us,2,Villanova
34,Giannis Antetokounmpo,PF,6-11,242,December 6 1994,gr,7,
21,Jrue Holiday,PG,6-3,205,June 12 1990,us,11,UCLA
43,Thanasis Antetokounmpo,SF,6-6,219,July 18 1992,gr,2,
13,Jordan Nwora,SF,6-8,225,September 9 1998,us,R,Louisville
15,Sam Merrill,SG,6-4,205,May 15 1996,us,R,Utah State University
5,Jeff Teague,PG,6-3,195,June 10 1988,us,11,Wake Forest
17,P.J. Tucker,PF,6-5,245,May 5 1985,us,9,Texas
25,Mamadi Diakite,PF,6-9,228,January 21 1997,gn,R,Virginia
66,Axel Toupane  (TW),SF,6-7,197,July 23 1992,fr,2,
3,Elijah Bryant,SG,6-5,210,April 19 1995,us,R,Elon University BYU
44,Justin Jackson  (TW),SF,6-8,220,March 28 1995,us,3,UNC
