No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Anthony Edwards,SG,6-4,225,August 5 2001,us,R,Georgia
11,Naz Reid,C,6-9,264,August 26 1999,us,1,LSU
9,Ricky Rubio,PG,6-3,190,October 21 1990,es,9,
8,Jarred Vanderbilt,PF,6-9,214,April 3 1999,us,2,Kentucky
3,Jaden McDaniels,PF,6-9,185,September 29 2000,us,R,Washington
20,Josh Okogie,SG,6-4,213,September 1 1998,ng,2,Georgia Tech
41,Juan Hernangómez,PF,6-9,214,September 28 1995,es,4,
6,Jordan McLaughlin  (TW),PG,5-11,185,April 9 1996,us,1,USC
32,Karl-Anthony Towns,C,6-11,248,November 15 1995,us,5,Kentucky
10,Jake Layman,SF,6-8,209,March 7 1994,us,4,Maryland
0,D'Angelo Russell,PG,6-4,193,February 23 1996,us,5,Ohio State
4,Jaylen Nowell,SG,6-4,201,July 9 1999,us,1,Washington
5,Malik Beasley,SG,6-4,187,November 26 1996,us,4,Florida State
23,Jarrett Culver,SG,6-6,195,February 20 1999,us,1,Texas Tech
17,Ed Davis,C,6-9,218,June 5 1989,us,10,UNC
