No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Eric Bledsoe,SG,6-1,214,December 9 1989,us,10,Kentucky
1,Zion Williamson,PF,6-7,284,July 6 2000,us,1,Duke
14,Brandon Ingram,SF,6-8,190,September 2 1997,us,4,Duke
10,Jaxson Hayes,C,6-11,220,May 23 2000,us,1,Texas
12,Steven Adams,C,6-11,265,July 20 1993,nz,7,Pitt
2,Lonzo Ball,PG,6-6,190,October 27 1997,us,3,UCLA
13,Kira Lewis Jr.,PG,6-1,170,April 6 2001,us,R,Alabama
3,Josh Hart,SF,6-5,215,March 6 1995,us,3,Villanova
9,Willy Hernangómez,C,6-11,250,May 27 1994,es,4,
6,Nickeil Alexander-Walker,SG,6-6,205,September 2 1998,ca,1,Virginia Tech
8,Naji Marshall,SF,6-7,220,January 24 1998,us,R,Xavier
16,James Johnson,PF,6-7,240,February 20 1987,us,11,Wake Forest
32,Wenyen Gabriel,PF,6-9,205,March 26 1997,sd,1,Kentucky
4,Wesley Iwundu,SF,6-6,195,December 20 1994,us,3,Kansas State
21,James Nunnally  (TW),SF,6-7,208,July 14 1990,us,2,UC Santa Barbara
0,Didi Louzada,SF,6-5,188,February 7 1999,br,R,
