No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Kenrich Williams,PF,6-6,210,December 2 1994,us,2,TCU
11,Théo Maledon,PG,6-4,175,June 12 2001,fr,R,
22,Isaiah Roby,PF,6-8,230,February 3 1998,us,1,Nebraska
7,Darius Bazley,PF,6-8,208,June 12 2000,us,1,
5,Luguentz Dort,SG,6-3,215,April 19 1999,ca,1,Arizona State
17,Aleksej Pokusevski,PF,7-0,190,December 26 2001,rs,R,
9,Moses Brown,C,7-2,245,October 13 1999,us,1,UCLA
2,Shai Gilgeous-Alexander,SG,6-6,180,July 12 1998,ca,2,Kentucky
33,Mike Muscala,C,6-10,240,July 1 1991,us,7,Bucknell
16,Ty Jerome,SG,6-5,195,July 8 1997,us,1,Virginia
14,Sviatoslav Mykhailiuk,SG,6-7,205,June 10 1997,ua,2,Kansas
42,Al Horford,C,6-9,240,June 3 1986,do,13,Florida
13,Tony Bradley,C,6-10,248,January 8 1998,us,3,UNC
15,Josh Hall,SF,6-9,190,October 8 2000,us,R,
8,Jaylen Hoard  (TW),SF,6-8,216,March 30 1999,fr,1,Wake Forest
6,Gabriel Deck,PF,6-8,232,February 8 1995,ar,R,
