No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Dwayne Bacon,SG,6-6,221,August 30 1995,us,3,Florida State
50,Cole Anthony,PG,6-2,185,May 15 2000,us,R,UNC
31,Terrence Ross,SG,6-6,206,February 5 1991,us,8,Washington
5,Mo Bamba,C,7-0,231,May 12 1998,us,2,Texas
3,Chuma Okeke,PF,6-6,229,August 18 1998,us,R,Auburn
11,James Ennis,SF,6-6,215,July 1 1990,us,6,Cal State Long Beach
25,Chasson Randle  (TW),PG,6-2,185,February 5 1993,us,3,Stanford
7,Michael Carter-Williams,SG,6-5,190,October 10 1991,us,7,Syracuse
13,R.J. Hampton,SG,6-4,175,February 7 2001,us,R,
34,Wendell Carter Jr.,C,6-10,270,April 16 1999,us,2,Duke
14,Gary Harris,SG,6-4,210,September 14 1994,us,6,Michigan State
21,Moritz Wagner,C,6-11,245,April 26 1997,de,2,Michigan
20,Markelle Fultz,PG,6-3,209,May 29 1998,us,3,Washington
17,Ignas Brazdeikis,SF,6-6,221,January 8 1999,lt,1,Michigan
12,Sindarius Thornwell  (TW),SG,6-4,215,November 15 1994,us,3,South Carolina
22,Otto Porter,PF,6-8,198,June 3 1993,us,7,Georgetown
,Jonathan Isaac,PF,6-11,230,October 3 1997,us,3,Florida State
