No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
14,Danny Green,SF,6-6,215,June 22 1987,us,11,UNC
39,Dwight Howard,C,6-10,265,December 8 1985,us,16,
22,Matisse Thybulle,SG,6-5,201,March 4 1997,us,1,Washington
18,Shake Milton,SG,6-5,205,September 26 1996,us,2,SMU
12,Tobias Harris,PF,6-8,226,July 15 1992,us,9,Tennessee
0,Tyrese Maxey,SG,6-2,200,November 4 2000,us,R,Kentucky
25,Ben Simmons,PG,6-11,240,July 20 1996,au,3,LSU
31,Seth Curry,SG,6-2,185,August 23 1990,us,6,Liberty Duke
30,Furkan Korkmaz,SG,6-7,202,July 24 1997,tr,3,
21,Joel Embiid,C,7-0,280,March 16 1994,cm,4,Kansas
1,Mike Scott,PF,6-7,237,July 16 1988,us,8,Virginia
7,Isaiah Joe,SG,6-4,165,July 2 1999,us,R,Arkansas
44,Paul Reed,PF,6-9,210,June 14 1999,us,R,DePaul
33,George Hill,PG,6-4,188,May 4 1986,us,12,IUPUI
9,Rayjon Tucker  (TW),PG,6-3,209,September 24 1997,us,1,Florida Gulf Coast Little Rock
43,Anthony Tolliver,PF,6-8,240,June 1 1985,us,12,Creighton
11,Gary Clark  (TW),PF,6-6,225,November 16 1994,us,2,Cincinnati
