No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
25,Mikal Bridges,SF,6-6,209,August 30 1996,us,2,Villanova
3,Chris Paul,PG,6-0,175,May 6 1985,us,15,Wake Forest
22,Deandre Ayton,C,6-11,250,July 23 1998,bs,2,Arizona
1,Devin Booker,SG,6-5,206,October 30 1996,us,5,Kentucky
99,Jae Crowder,PF,6-6,235,July 6 1990,us,8,Marquette
23,Cameron Johnson,PF,6-8,210,March 3 1996,us,1,Pitt UNC
15,Cameron Payne,PG,6-1,183,August 8 1994,us,5,Murray State
4,Jevon Carter,PG,6-1,200,September 14 1995,us,2,West Virginia
20,Dario Šarić,C,6-10,225,April 8 1994,hr,4,
8,Frank Kaminsky,C,7-0,240,April 4 1993,us,5,Wisconsin
2,Langston Galloway,SG,6-1,200,December 9 1991,us,6,Saint Joseph's
12,Torrey Craig,SF,6-7,221,December 19 1990,us,3,USC Upstate
55,E'Twaun Moore,SG,6-3,191,February 25 1989,us,9,Purdue
10,Jalen Smith,PF,6-10,215,March 16 2000,us,R,Maryland
11,Abdel Nader,SF,6-5,225,September 25 1993,eg,3,Northern Illinois Iowa State
0,Ty-Shon Alexander  (TW),SG,6-3,195,July 16 1998,us,R,Creighton
