No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Buddy Hield,SG,6-4,220,December 17 1992,bs,4,Oklahoma
22,Richaun Holmes,C,6-10,235,October 15 1993,us,5,Bowling Green
5,De'Aaron Fox,PG,6-3,185,December 20 1997,us,3,Kentucky
40,Harrison Barnes,PF,6-8,225,May 30 1992,us,8,UNC
0,Tyrese Haliburton,PG,6-5,185,February 29 2000,us,R,Iowa State
35,Marvin Bagley III,PF,6-11,235,March 14 1999,us,2,Duke
20,Hassan Whiteside,C,7-0,265,June 13 1989,us,8,Marshall
25,Chimezie Metu,C,6-9,225,March 22 1997,us,2,USC
10,Justin James,SF,6-7,190,January 24 1997,us,1,Wyoming
7,Kyle Guy  (TW),PG,6-1,167,August 11 1997,us,1,Virginia
9,Terence Davis,SG,6-4,201,May 16 1997,us,1,Ole Miss
55,Delon Wright,PG,6-5,185,April 26 1992,us,5,Utah
8,Maurice Harkless,PF,6-7,220,May 11 1993,us,8,St. John's
15,Damian Jones,C,6-11,245,June 30 1995,us,4,Vanderbilt
3,Jahmi'us Ramsey,SG,6-3,190,June 9 2001,us,R,Texas Tech
13,Robert Woodard,SF,6-6,235,September 22 1999,us,R,Mississippi State
