No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Keldon Johnson,SF,6-5,220,October 11 1999,us,1,Kentucky
25,Jakob Poeltl,C,7-1,245,October 15 1995,at,4,Utah
8,Patty Mills,PG,6-1,180,August 11 1988,au,11,Saint Mary's
5,Dejounte Murray,PG,6-4,180,September 19 1996,us,3,Washington
22,Rudy Gay,PF,6-8,250,August 17 1986,us,14,UConn
24,Devin Vassell,SF,6-5,200,August 23 2000,us,R,Florida State
10,DeMar DeRozan,PF,6-6,220,August 7 1989,us,11,USC
1,Lonnie Walker,SG,6-4,204,December 14 1998,us,2,Miami (FL)
14,Drew Eubanks,C,6-9,245,February 1 1997,us,2,Oregon State
33,Tre Jones,PG,6-1,185,January 8 2000,us,R,Duke
4,Derrick White,SG,6-4,190,July 2 1994,us,3,Colorado-Colorado Springs Colorado
19,Luka Šamanić,PF,6-10,227,January 9 2000,hr,1,
31,Keita Bates-Diop  (TW),SF,6-8,229,January 23 1996,us,2,Ohio State
41,Trey Lyles,PF,6-9,234,November 5 1995,ca,5,Kentucky
15,Quinndary Weatherspoon  (TW),SG,6-3,205,September 10 1996,us,1,Mississippi State
7,Gorgui Dieng,C,6-10,252,January 18 1990,sn,7,Louisville
,DaQuan Jeffries,G-F,6-5,230,August 30 1997,us,1,Oral Roberts Tulsa
