No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Stanley Johnson,PF,6-6,242,May 29 1996,us,5,Arizona
25,Chris Boucher,C,6-9,200,January 11 1993,lc,3,Oregon
43,Pascal Siakam,PF,6-9,230,April 2 1994,cm,4,New Mexico State
46,Aron Baynes,C,6-10,260,December 9 1986,nz,8,Washington State
23,Fred VanVleet,SG,6-1,197,February 25 1994,us,4,Wichita State
95,DeAndre' Bembry,SF,6-5,210,July 4 1994,us,4,Saint Joseph's
18,Yuta Watanabe,SF,6-9,215,October 13 1994,jp,2,George Washington
8,Malachi Flynn,PG,6-1,175,May 10 1998,us,R,Washington State San Diego State
7,Kyle Lowry,PG,6-0,196,March 25 1986,us,14,Villanova
3,OG Anunoby,SF,6-7,232,July 17 1997,gb,3,Indiana
1,Paul Watson,SF,6-6,210,December 30 1994,us,1,Fresno State
55,Freddie Gillespie,PF,6-9,245,June 14 1997,us,R,Carleton College Baylor
24,Khem Birch,C,6-9,233,September 28 1992,ca,3,Pitt UNLV
33,Gary Trent Jr.,SG,6-5,209,January 18 1999,us,2,Duke
32,Rodney Hood,SF,6-8,208,October 20 1992,us,6,Mississippi State Duke
2,Jalen Harris  (TW),SG,6-5,195,August 14 1998,us,R,Nevada Louisiana Tech
