No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
44,Bojan Bogdanović,SF,6-7,226,April 18 1989,ba,6,
31,Georges Niang,PF,6-7,230,June 17 1993,us,4,Iowa State
27,Rudy Gobert,C,7-1,258,June 26 1992,fr,7,
23,Royce O'Neale,SF,6-4,226,June 5 1993,us,3,Denver Baylor
00,Jordan Clarkson,SG,6-4,194,June 7 1992,us,6,Tulsa Missouri
15,Derrick Favors,C,6-9,265,July 15 1991,us,10,Georgia Tech
2,Joe Ingles,SF,6-8,220,October 2 1987,au,6,
81,Miye Oni,SG,6-5,206,August 4 1997,us,1,Yale
45,Donovan Mitchell,PG,6-1,215,September 7 1996,us,3,Louisville
10,Mike Conley,PG,6-1,175,October 11 1987,us,13,Ohio State
3,Trent Forrest  (TW),PG,6-4,210,June 12 1998,us,R,Florida State
16,Juwan Morgan,PF,6-7,232,April 17 1997,us,1,Indiana
5,Jarrell Brantley  (TW),PF,6-5,250,June 7 1996,us,1,College of Charleston
21,Matt Thomas,SG,6-4,190,August 4 1994,us,1,Iowa State
33,Elijah Hughes,SF,6-5,215,March 10 1998,us,R,Syracuse East Carolina University
77,Ersan İlyasova,PF,6-9,235,May 15 1987,tr,12,
20,Udoka Azubuike,C,6-10,280,September 17 1999,ng,R,Kansas
