No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Robin Lopez,C,7-0,281,April 1 1988,us,12,Stanford
4,Russell Westbrook,PG,6-3,200,November 12 1988,us,12,UCLA
19,Raul Neto,PG,6-1,180,May 19 1992,br,5,
24,Garrison Mathews  (TW),SG,6-5,215,October 24 1996,us,1,Lipscomb
3,Bradley Beal,SG,6-3,207,June 28 1993,us,8,Florida
8,Rui Hachimura,PF,6-8,230,February 8 1998,jp,1,Gonzaga
42,Dāvis Bertāns,PF,6-10,225,November 12 1992,lv,4,
27,Alex Len,C,7-0,250,June 16 1993,ua,7,Maryland
9,Deni Avdija,SF,6-9,210,January 3 2001,il,R,
14,Ish Smith,PG,6-0,175,July 5 1988,us,10,Wake Forest
17,Isaac Bonga,SF,6-8,180,November 8 1999,de,2,
16,Anthony Gill,PF,6-7,230,October 17 1992,us,R,South Carolina Virginia
21,Daniel Gafford,C,6-10,234,October 1 1998,us,1,Arkansas
5,Cassius Winston  (TW),PG,6-1,185,February 28 1998,us,R,Michigan State
1,Chandler Hutchison,SF,6-6,210,April 26 1996,us,2,Boise State
13,Thomas Bryant,C,6-10,248,July 31 1997,us,3,Indiana
,Caleb Homesley,G,6-6,205,November 27 1996,us,R,Liberty
