Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,#,,%3PA c,3P% c,,Att.,#
1,Steven Adams\adamsst01,C,26,OKC,63,1680,0.592,4.4,,0.994,0.513,0.397,0.082,0.002,0.006,,0.594,0.743,0.416,0.513,1,0.333,,0.67,1,,0.176,78,,0.333,0,,1,1
2,Bam Adebayo\adebaba01,PF,22,MIA,72,2417,0.557,5.8,,0.982,0.481,0.301,0.144,0.056,0.018,,0.564,0.726,0.445,0.404,0.227,0.143,,0.715,0.5,,0.219,157,,0.571,0.125,,1,0
3,LaMarcus Aldridge\aldrila01,C,34,SAS,53,1754,0.493,13.7,,0.802,0.202,0.129,0.227,0.245,0.198,,0.519,0.719,0.471,0.461,0.433,0.389,,0.567,0.951,,0.044,31,,0.185,0.379,,1,0
4,Kyle Alexander\alexaky01,C,23,MIA,2,13,0.5,1.5,,1,1,0,0,0,0,,0.5,0.5,,,,,,0,,,0,0,,,,,0,0
5,Nickeil Alexander-Walker\alexani01,SG,21,NOP,47,591,0.368,15.9,,0.5,0.244,0.173,0.053,0.03,0.5,,0.391,0.523,0.261,0.214,0.375,0.346,,0.192,0.913,,0.008,2,,0.188,0.36,,4,0
6,Grayson Allen\allengr01,SG,24,MEM,38,718,0.466,16.9,,0.438,0.151,0.179,0.104,0.004,0.562,,0.545,0.711,0.444,0.5,0,0.404,,0.6,0.982,,0.044,10,,0.255,0.556,,0,0
7,Jarrett Allen\allenja01,C,21,BRK,70,1852,0.649,2.6,,0.987,0.755,0.211,0.019,0.002,0.013,,0.658,0.746,0.367,0.444,0,0,,0.795,,,0.447,177,,0.833,0,,0,0
8,Kadeem Allen\allenka01,PG,27,NYK,10,117,0.432,15.1,,0.636,0.159,0.182,0.227,0.068,0.364,,0.5,0.571,0.375,0.6,0.333,0.313,,0.286,0.8,,0,0,,0.313,0.4,,0,0
9,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,0.291,13.3,,0.581,0.267,0.244,0,0.07,0.419,,0.32,0.435,0.19,,0.333,0.25,,0.438,0.889,,0.012,1,,0.222,0.375,,0,0
10,Justin Anderson\anderju01,SG,26,BRK,10,107,0.263,20.3,,0.237,0.211,0.026,0,0,0.763,,0.444,0.375,1,,,0.207,,1,1,,0.053,2,,0.276,0.25,,0,0
11,Kyle Anderson\anderky01,SF,26,MEM,67,1330,0.474,11.8,,0.743,0.26,0.263,0.136,0.085,0.257,,0.541,0.663,0.506,0.4,0.5,0.282,,0.541,1,,0.03,10,,0.518,0.25,,2,0
12,Ryan Anderson\anderry01,C,31,HOU,2,14,0.286,21.5,,0.286,0.143,0,0.143,0,0.714,,0.5,0,,1,,0.2,,0,1,,0,0,,0,,,0,0
13,Giannis Antetokounmpo\antetgi01,PF,25,MIL,63,1917,0.553,9.8,,0.763,0.482,0.16,0.073,0.048,0.237,,0.631,0.779,0.343,0.433,0.4,0.304,,0.438,0.551,,0.17,197,,0.034,0.5,,0,0
14,Kostas Antetokounmpo\antetko01,PF,22,LAL,5,20,1,1.5,,1,1,0,0,0,0,,1,1,,,,,,0.667,,,1,3,,,,,0,0
15,Thanasis Antetokounmpo\antetth01,SF,27,MIL,20,129,0.5,8.1,,0.792,0.667,0.063,0.063,0,0.208,,0.632,0.656,0.333,0.667,,0,,0.583,,,0.229,11,,0.4,0,,2,0
16,Carmelo Anthony\anthoca01,PF,35,POR,58,1902,0.43,14.5,,0.711,0.193,0.105,0.238,0.175,0.289,,0.448,0.53,0.476,0.419,0.38,0.385,,0.39,0.943,,0.032,17,,0.212,0.563,,1,0
17,OG Anunoby\anunoog01,SF,22,TOR,69,2066,0.505,11.6,,0.597,0.452,0.111,0.025,0.009,0.403,,0.583,0.68,0.27,0.357,0.2,0.39,,0.64,0.955,,0.154,84,,0.504,0.4,,0,0
18,Ryan Arcidiacono\arcidry01,PG,25,CHI,58,930,0.409,18.4,,0.373,0.15,0.1,0.1,0.023,0.627,,0.439,0.606,0.318,0.318,0.4,0.391,,0.5,0.889,,0,0,,0.29,0.475,,0,0
19,Trevor Ariza\arizatr01,SF,34,TOT,53,1493,0.438,17,,0.361,0.269,0.065,0.012,0.015,0.639,,0.556,0.701,0.19,0,0,0.372,,0.692,0.948,,0.059,16,,0.377,0.397,,1,0
20,D.J. Augustin\augusdj01,PG,32,ORL,57,1420,0.399,15.9,,0.564,0.197,0.167,0.121,0.078,0.436,,0.438,0.571,0.286,0.5,0.333,0.348,,0.193,0.629,,0,0,,0.129,0.346,,5,0
21,Deandre Ayton\aytonde01,C,21,PHO,38,1236,0.546,6.7,,0.977,0.461,0.227,0.188,0.1,0.023,,0.553,0.725,0.411,0.393,0.386,0.231,,0.746,1,,0.164,83,,0.154,0.5,,0,0
22,Dwayne Bacon\bacondw01,SG,24,CHO,39,687,0.348,11.6,,0.725,0.32,0.238,0.107,0.061,0.275,,0.373,0.449,0.345,0.231,0.333,0.284,,0.47,0.895,,0.012,3,,0.149,0.3,,0,0
23,Marvin Bagley III\baglema01,C,20,SAC,13,334,0.467,8.2,,0.868,0.431,0.293,0.06,0.084,0.132,,0.51,0.681,0.306,0.2,0.571,0.182,,0.635,1,,0.174,25,,0.045,0,,0,0
24,Lonzo Ball\balllo01,PG,22,NOP,63,2025,0.403,17.7,,0.425,0.215,0.083,0.049,0.079,0.575,,0.442,0.608,0.246,0.324,0.278,0.375,,0.411,0.824,,0.023,15,,0.21,0.349,,2,0
25,Mo Bamba\bambamo01,C,21,ORL,62,878,0.462,12.4,,0.626,0.406,0.126,0.031,0.063,0.374,,0.531,0.681,0.194,0.444,0.278,0.346,,0.537,1,,0.143,39,,0.103,0.182,,0,0
26,J.J. Barea\bareajo01,PG,35,DAL,29,450,0.411,14.8,,0.589,0.266,0.15,0.101,0.072,0.411,,0.434,0.582,0.29,0.286,0.4,0.376,,0.094,0.406,,0,0,,0.094,0.5,,1,0
27,Harrison Barnes\barneha02,PF,27,SAC,72,2482,0.46,11.8,,0.662,0.294,0.285,0.058,0.025,0.338,,0.501,0.691,0.363,0.304,0.3,0.381,,0.525,0.873,,0.043,31,,0.336,0.356,,1,1
28,RJ Barrett\barrerj01,SG,19,NYK,56,1704,0.402,10.7,,0.729,0.392,0.201,0.065,0.072,0.271,,0.432,0.568,0.267,0.277,0.288,0.32,,0.354,0.937,,0.056,35,,0.299,0.356,,1,0
29,Will Barton\bartowi01,SF,29,DEN,58,1916,0.45,13.5,,0.61,0.286,0.186,0.079,0.06,0.39,,0.498,0.616,0.328,0.414,0.568,0.375,,0.393,0.704,,0.037,25,,0.122,0.486,,1,1
30,Keita Bates-Diop\bateske01,PF-SF,24,TOT,44,744,0.427,12.9,,0.56,0.385,0.128,0.034,0.013,0.44,,0.504,0.611,0.3,0.125,0.333,0.33,,0.667,0.941,,0.034,8,,0.417,0.419,,0,0
