Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,# du,,%3PA c,3P% c,,Att.,#
1,Precious Achiuwa\achiupr01,PF,21,MIA,61,737,0.544,3.3,,0.996,0.667,0.263,0.039,0.026,0.004,,0.546,0.645,0.367,0.333,0.167,0,,0.734,,,0.259,48,,0,,,0,0
2,Jaylen Adams\adamsja01,PG,24,MIL,7,18,0.125,11,,0.75,0.25,0.375,0.125,0,0.25,,0.167,0,0,1,,0,,0,,,0,0,,0,,,0,0
3,Steven Adams\adamsst01,C,27,NOP,58,1605,0.614,3.9,,0.99,0.646,0.276,0.068,0,0.01,,0.62,0.693,0.494,0.429,,0,,0.598,,,0.182,51,,0,,,3,0
4,Bam Adebayo\adebaba01,C,23,MIA,64,2143,0.57,7.6,,0.99,0.353,0.303,0.225,0.11,0.01,,0.573,0.794,0.471,0.456,0.386,0.25,,0.656,1,,0.188,137,,0.125,0,,0,0
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,674,0.473,15.5,,0.73,0.152,0.122,0.152,0.304,0.27,,0.505,0.622,0.472,0.444,0.489,0.388,,0.688,0.968,,0.044,12,,0.175,0.429,,0,0
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,544,0.464,16.6,,0.698,0.109,0.129,0.125,0.335,0.302,,0.509,0.63,0.438,0.452,0.518,0.36,,0.705,0.963,,0.024,6,,0.16,0.417,,0,0
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,130,0.521,9.9,,0.896,0.375,0.083,0.292,0.146,0.104,,0.488,0.611,0.75,0.429,0.143,0.8,,0.619,1,,0.146,6,,0.4,0.5,,0,0
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,15,47,0.25,22.3,,0.25,0.083,0,0,0.167,0.75,,0.333,1,,,0,0.222,,0,0.5,,0.083,1,,0.111,0,,0,0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,46,1007,0.419,15.5,,0.522,0.236,0.164,0.041,0.081,0.478,,0.485,0.481,0.52,0.421,0.459,0.347,,0.345,0.921,,0.015,7,,0.283,0.387,,1,1
8,Grayson Allen\allengr01,SG,25,MEM,50,1259,0.418,19.2,,0.338,0.123,0.126,0.07,0.019,0.662,,0.471,0.667,0.365,0.414,0.125,0.391,,0.606,0.907,,0.029,11,,0.172,0.34,,0,0
9,Jarrett Allen\allenja01,C,22,TOT,63,1864,0.618,4.5,,0.961,0.6,0.276,0.056,0.029,0.039,,0.631,0.761,0.436,0.407,0.214,0.316,,0.723,1,,0.288,127,,0.368,0.286,,0,0
9,Jarrett Allen\allenja01,C,22,BRK,12,320,0.677,2.9,,1,0.723,0.185,0.046,0.046,0,,0.677,0.809,0.333,0.333,0.333,,,0.75,,,0.277,17,,,,,0,0
9,Jarrett Allen\allenja01,C,22,CLE,51,1544,0.609,4.7,,0.954,0.58,0.29,0.058,0.026,0.046,,0.623,0.752,0.446,0.417,0.182,0.316,,0.718,1,,0.29,110,,0.368,0.286,,0,0
10,Al-Farouq Aminu\aminual01,PF,30,TOT,23,434,0.384,13.2,,0.626,0.273,0.242,0.03,0.081,0.374,,0.484,0.519,0.417,0,0.75,0.216,,0.467,0.875,,0.03,3,,0.216,0.5,,0,0
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,367,0.404,12.7,,0.652,0.281,0.247,0.034,0.09,0.348,,0.5,0.56,0.409,0,0.75,0.226,,0.448,0.857,,0.034,3,,0.194,0.667,,0,0
10,Al-Farouq Aminu\aminual01,PF,30,CHI,6,67,0.2,17.2,,0.4,0.2,0.2,0,0,0.6,,0.25,0,0.5,,,0.167,,1,1,,0,0,,0.333,0,,0,0
11,Kyle Anderson\anderky01,PF,27,MEM,69,1887,0.468,14.8,,0.603,0.158,0.22,0.149,0.076,0.397,,0.539,0.654,0.497,0.541,0.42,0.36,,0.449,0.862,,0.012,7,,0.425,0.369,,1,0
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,61,2013,0.569,9.5,,0.799,0.451,0.193,0.094,0.062,0.201,,0.636,0.837,0.401,0.359,0.324,0.303,,0.428,0.299,,0.169,178,,0.045,0.3,,0,0
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,15,56,0.3,4.1,,1,0.4,0.6,0,0,0,,0.3,0.75,0,,,,,0.333,,,0.4,2,,,,,0,0
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,57,551,0.489,8.4,,0.788,0.62,0.139,0.015,0.015,0.212,,0.556,0.671,0.105,0,0.5,0.241,,0.583,0.714,,0.255,29,,0.31,0.333,,4,0
15,Carmelo Anthony\anthoca01,PF,36,POR,69,1690,0.421,18.1,,0.582,0.062,0.08,0.236,0.205,0.418,,0.429,0.5,0.403,0.448,0.396,0.409,,0.278,0.782,,0.012,8,,0.197,0.438,,0,0
16,Cole Anthony\anthoco01,PG,20,ORL,47,1273,0.397,13.3,,0.688,0.185,0.292,0.129,0.083,0.312,,0.424,0.588,0.298,0.493,0.391,0.337,,0.112,0.621,,0.013,4,,0.093,0.313,,0,0
17,OG Anunoby\anunoog01,SF,23,TOR,43,1433,0.48,14.8,,0.497,0.256,0.173,0.04,0.027,0.503,,0.562,0.759,0.344,0.381,0.357,0.398,,0.51,0.971,,0.116,55,,0.467,0.41,,1,0
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,44,450,0.419,18.3,,0.427,0.154,0.137,0.085,0.051,0.573,,0.48,0.556,0.375,0.7,0.167,0.373,,0.542,1,,0,0,,0.224,0.467,,1,0
19,Trevor Ariza\arizatr01,SF,35,MIA,30,841,0.411,16.1,,0.407,0.286,0.095,0.008,0.017,0.593,,0.5,0.609,0.261,0,0.25,0.35,,0.776,0.94,,0.041,9,,0.413,0.373,,1,0
20,D.J. Augustin\augusdj01,PG,33,TOT,57,1129,0.394,19,,0.367,0.146,0.102,0.073,0.047,0.633,,0.413,0.54,0.371,0.28,0.313,0.382,,0.212,0.711,,0,0,,0.194,0.31,,0,0
20,D.J. Augustin\augusdj01,PG,33,MIL,37,713,0.37,20,,0.328,0.109,0.094,0.073,0.052,0.672,,0.349,0.476,0.333,0.214,0.3,0.38,,0.136,0.755,,0,0,,0.24,0.355,,0,0
20,D.J. Augustin\augusdj01,PG,33,HOU,20,416,0.424,17.8,,0.417,0.192,0.113,0.073,0.04,0.583,,0.476,0.586,0.412,0.364,0.333,0.386,,0.267,0.647,,0,0,,0.125,0.182,,0,0
